Driver,LapNumber,RaceName_x,Year_x,TyreLife,PitInTime,AirTemp,TrackTemp,Humidity,Position,Compound_label,LapTime_label,Sector1Time_label,Sector2Time_label,Sector3Time_label,PitInTime_label,PitOutTime_label,FreshTyre_encoded,Rainfall_encoded,NextPit
BOT,47.0,70th Anniversary,2019,1.0,NaT,25.7,44.2,31.8,12.0,2,18148,13640,3592,2303,1250,731,0,0,
BOT,48.0,70th Anniversary,2019,2.0,NaT,25.7,44.2,32.3,12.0,2,7557,7658,4209,2478,1250,1214,0,0,
BOT,49.0,70th Anniversary,2019,3.0,NaT,25.8,44.7,32.6,11.0,2,6921,7282,3599,2479,1250,1214,0,0,
BOT,50.0,70th Anniversary,2019,4.0,NaT,26.1,44.6,32.1,10.0,2,6684,7454,3122,2350,1250,1214,0,0,
BOT,51.0,70th Anniversary,2019,5.0,NaT,25.9,44.4,32.5,9.0,2,6185,7650,2733,2125,1250,1214,0,0,
BOT,52.0,70th Anniversary,2019,6.0,NaT,26.0,44.7,32.0,9.0,2,6132,7420,2789,2171,1250,1214,0,0,
BOT,53.0,70th Anniversary,2019,7.0,NaT,26.1,44.9,32.5,9.0,2,6320,7495,2981,2135,1250,1214,0,0,
BOT,54.0,70th Anniversary,2019,8.0,NaT,26.3,44.7,31.8,9.0,2,6531,7495,2932,2306,1250,1214,0,0,
BOT,55.0,70th Anniversary,2019,9.0,NaT,26.3,44.4,32.5,9.0,2,6459,7719,2931,2134,1250,1214,0,0,
BOT,56.0,70th Anniversary,2019,10.0,NaT,26.4,44.1,31.4,9.0,2,6519,7538,3006,2235,1250,1214,0,0,
BOT,57.0,70th Anniversary,2019,11.0,NaT,25.7,42.3,32.9,9.0,2,6841,7459,3420,2349,1250,1214,0,0,
BOT,58.0,70th Anniversary,2019,12.0,NaT,25.7,42.7,33.1,9.0,2,6411,7348,3123,2197,1250,1214,0,0,
BOT,59.0,70th Anniversary,2019,13.0,NaT,25.9,42.9,32.9,9.0,2,5963,7328,2734,2153,1250,1214,0,0,
BOT,60.0,70th Anniversary,2019,14.0,NaT,26.0,42.5,32.3,9.0,2,6560,7407,3112,2277,1250,1214,0,0,
BOT,61.0,70th Anniversary,2019,15.0,NaT,26.0,41.7,32.6,9.0,2,7155,7661,3602,2470,1250,1214,0,0,
BOT,62.0,70th Anniversary,2019,16.0,NaT,25.9,41.1,33.3,9.0,2,7276,7560,4019,2383,1250,1214,0,0,
BOT,63.0,70th Anniversary,2019,17.0,NaT,25.9,40.9,32.8,8.0,2,6595,7697,3021,2192,1250,1214,0,0,
BOT,64.0,70th Anniversary,2019,18.0,NaT,25.9,41.7,32.6,8.0,2,6425,7462,2888,2274,1250,1214,0,0,
BOT,65.0,70th Anniversary,2019,19.0,NaT,26.0,42.1,32.2,8.0,2,6481,7413,2910,2332,1250,1214,0,0,
BOT,66.0,70th Anniversary,2019,20.0,NaT,26.0,42.4,32.2,8.0,2,6940,7584,3359,2416,1250,1214,0,0,
BOT,67.0,70th Anniversary,2019,21.0,NaT,25.7,42.0,32.7,8.0,2,6918,7630,3271,2418,1250,1214,0,0,
BOT,68.0,70th Anniversary,2019,22.0,NaT,25.7,42.1,33.2,8.0,2,6978,7616,3611,2283,1250,1214,0,0,
BOT,69.0,70th Anniversary,2019,23.0,NaT,25.8,42.7,33.1,8.0,2,7224,7774,3621,2439,1250,1214,0,0,
GAS,1.0,70th Anniversary,2019,4.0,NaT,25.9,43.2,36.1,9.0,2,15255,14560,7175,3638,1250,1214,0,0,27.0
GAS,2.0,70th Anniversary,2019,5.0,NaT,26.0,42.9,34.9,9.0,2,10082,8698,5416,3205,1250,1214,0,0,26.0
GAS,3.0,70th Anniversary,2019,6.0,NaT,26.0,41.8,34.5,9.0,2,9756,8615,5006,3319,1250,1214,0,0,25.0
GAS,4.0,70th Anniversary,2019,7.0,NaT,25.8,41.3,35.2,9.0,2,9854,8226,5497,3334,1250,1214,0,0,24.0
GAS,5.0,70th Anniversary,2019,8.0,NaT,25.5,40.9,35.8,9.0,2,9769,8340,5252,3363,1250,1214,0,0,23.0
GAS,6.0,70th Anniversary,2019,9.0,NaT,25.4,40.7,36.0,8.0,2,9239,8173,5043,3136,1250,1214,0,0,22.0
GAS,7.0,70th Anniversary,2019,10.0,NaT,25.3,40.3,36.2,8.0,2,9138,8257,4902,3079,1250,1214,0,0,21.0
GAS,8.0,70th Anniversary,2019,11.0,NaT,25.0,39.4,37.0,8.0,2,9511,8248,5260,3154,1250,1214,0,0,20.0
GAS,9.0,70th Anniversary,2019,12.0,NaT,25.0,39.3,37.1,8.0,2,8663,8317,4446,2923,1250,1214,0,0,19.0
GAS,10.0,70th Anniversary,2019,13.0,NaT,24.9,38.9,37.5,8.0,2,8573,8247,4326,3010,1250,1214,0,0,18.0
GAS,11.0,70th Anniversary,2019,14.0,NaT,25.3,40.0,36.4,8.0,2,8723,8446,4297,3009,1250,1214,0,0,17.0
GAS,12.0,70th Anniversary,2019,15.0,NaT,25.6,41.5,35.9,8.0,2,8961,8310,4634,3087,1250,1214,0,0,16.0
GAS,13.0,70th Anniversary,2019,16.0,NaT,25.5,42.7,35.1,8.0,2,9044,8352,4658,3115,1250,1214,0,0,15.0
GAS,14.0,70th Anniversary,2019,17.0,NaT,25.1,42.9,35.4,8.0,2,8773,8361,4431,3015,1250,1214,0,0,14.0
GAS,15.0,70th Anniversary,2019,18.0,NaT,24.9,43.2,36.0,8.0,2,8821,8319,4406,3137,1250,1214,0,0,13.0
GAS,16.0,70th Anniversary,2019,19.0,NaT,25.1,43.7,36.2,8.0,2,8671,8364,4258,3073,1250,1214,0,0,12.0
GAS,17.0,70th Anniversary,2019,20.0,NaT,25.2,44.1,36.2,8.0,2,8602,8447,4264,2904,1250,1214,0,0,11.0
GAS,18.0,70th Anniversary,2019,21.0,NaT,25.8,44.6,34.6,8.0,2,8413,8387,4200,2812,1250,1214,0,0,10.0
GAS,19.0,70th Anniversary,2019,22.0,NaT,25.5,44.7,35.0,8.0,2,8408,8396,4143,2854,1250,1214,0,0,9.0
GAS,20.0,70th Anniversary,2019,23.0,NaT,25.4,44.8,34.8,8.0,2,8470,8495,4104,2864,1250,1214,0,0,8.0
GAS,21.0,70th Anniversary,2019,24.0,NaT,25.3,44.9,34.8,8.0,2,8232,8380,4152,2663,1250,1214,0,0,7.0
GAS,22.0,70th Anniversary,2019,25.0,NaT,25.2,44.9,35.0,8.0,2,8378,8378,4149,2831,1250,1214,0,0,6.0
GAS,23.0,70th Anniversary,2019,26.0,NaT,25.7,45.8,34.7,8.0,2,8088,8307,4022,2685,1250,1214,0,0,5.0
GAS,24.0,70th Anniversary,2019,27.0,NaT,25.7,45.8,33.8,8.0,2,8366,8251,4248,2844,1250,1214,0,0,4.0
GAS,25.0,70th Anniversary,2019,28.0,NaT,25.5,45.8,34.7,8.0,2,8616,8345,4304,2985,1250,1214,0,0,3.0
GAS,26.0,70th Anniversary,2019,29.0,NaT,25.7,45.7,33.8,8.0,2,8471,8338,4218,2908,1250,1214,0,0,2.0
GAS,27.0,70th Anniversary,2019,30.0,NaT,25.5,45.6,34.0,8.0,2,8649,8344,4383,2944,1250,1214,0,0,1.0
GAS,28.0,70th Anniversary,2019,31.0,0 days 01:12:02.932000,25.0,45.9,35.2,8.0,2,10691,8334,4433,5068,412,1214,0,0,
GAS,29.0,70th Anniversary,2019,1.0,NaT,25.0,46.0,35.2,8.0,0,17890,13673,2999,2148,1250,361,1,0,
GAS,30.0,70th Anniversary,2019,2.0,NaT,25.4,46.1,35.2,7.0,0,7547,8218,3570,2515,1250,1214,1,0,
GAS,31.0,70th Anniversary,2019,3.0,NaT,25.6,44.8,35.0,7.0,0,7841,7941,4034,2710,1250,1214,1,0,
GAS,32.0,70th Anniversary,2019,4.0,NaT,25.9,44.7,33.8,6.0,0,7149,7772,3478,2467,1250,1214,1,0,
GAS,33.0,70th Anniversary,2019,5.0,NaT,26.1,45.0,32.9,6.0,0,7210,7848,3463,2494,1250,1214,1,0,
GAS,34.0,70th Anniversary,2019,6.0,NaT,26.1,45.6,32.6,6.0,0,7344,7854,3595,2556,1250,1214,1,0,
GAS,35.0,70th Anniversary,2019,7.0,NaT,26.2,45.7,32.3,6.0,0,7783,7880,3948,2778,1250,1214,1,0,
GAS,36.0,70th Anniversary,2019,8.0,NaT,25.6,45.4,33.0,6.0,0,7705,7929,3958,2614,1250,1214,1,0,
GAS,37.0,70th Anniversary,2019,9.0,NaT,25.5,45.4,33.6,6.0,0,7618,7979,3848,2565,1250,1214,1,0,
GAS,38.0,70th Anniversary,2019,10.0,NaT,25.3,45.0,33.4,6.0,0,7367,7807,3684,2548,1250,1214,1,0,
GAS,39.0,70th Anniversary,2019,11.0,NaT,24.8,45.2,34.7,6.0,0,7830,7838,3900,2939,1250,1214,1,0,
GAS,40.0,70th Anniversary,2019,12.0,NaT,24.8,44.3,34.6,6.0,0,7566,8021,3637,2659,1250,1214,1,0,
GAS,41.0,70th Anniversary,2019,13.0,NaT,25.1,42.7,33.9,6.0,0,7356,7788,3721,2520,1250,1214,1,0,
GAS,42.0,70th Anniversary,2019,14.0,NaT,25.1,42.0,34.7,6.0,0,7643,7832,3875,2712,1250,1214,1,0,
GAS,43.0,70th Anniversary,2019,15.0,NaT,25.4,42.5,31.8,6.0,0,7576,7721,3871,2747,1250,1214,1,0,
GAS,44.0,70th Anniversary,2019,16.0,NaT,26.2,43.9,30.1,6.0,0,7501,7996,3701,2537,1250,1214,1,0,
